city_hebrew,city_english,raffles,total_apartments,general_apartments,total_registered,general_registered,p_win,snapshot_time
כפר סבא,Kfar Saba,11,1045,292,299810,277515,0.011497,2026-06-11 10:42:18
מזכרת בתיה,Mazkeret Batya,4,427,120,53241,51394,0.009286,2026-06-11 10:42:18
"בני עי""ש",Bnei Ayish,4,179,52,26985,26515,0.007813,2026-06-11 10:42:18
אשדוד,Ashdod,1,256,70,13017,9170,0.007634,2026-06-11 10:42:18
נהרייה,Nahariya,2,218,60,19237,16353,0.007273,2026-06-11 10:42:18
יקנעם עילית,Yokneam Illit,1,89,26,4385,3778,0.006882,2026-06-11 10:42:18
יהוד,Yehud,1,121,33,5867,5446,0.006059,2026-06-11 10:42:18
בית דגן,Beit Dagan,5,399,111,95015,93092,0.005939,2026-06-11 10:42:18
קדימה-צורן,Kedima-Zoran,6,315,90,99917,96043,0.005608,2026-06-11 10:42:18
חדרה,Hadera,4,268,76,63551,54873,0.005504,2026-06-11 10:42:18
אילת,Eilat,1,99,28,7173,5522,0.005071,2026-06-11 10:42:18
ראשון לציון,Rishon LeZion,2,148,42,36646,27762,0.003014,2026-06-11 10:42:18
רחובות,Rehovot,1,30,9,6316,4873,0.001847,2026-06-11 10:42:18
מעלה אדומים,Ma'ale Adumim,16,1663,463,203919,180286,0.039731,2026-06-12 10:19:28
כפר מנדא,Kfar Manda,2,131,38,2688,1907,0.03943,2026-06-12 10:19:28
קריית גת,Kiryat Gat,9,1433,394,162139,155035,0.022573,2026-06-12 10:19:28
רכסים,Raksim,5,405,113,35853,34325,0.016345,2026-06-12 10:19:28
בית שמש,Beit Shemesh,4,425,118,43125,32325,0.014508,2026-06-12 10:19:28
בת חפר,Bat Hefer,3,271,77,19001,17982,0.012707,2026-06-12 10:19:28
כפר סבא,Kfar Saba,11,1045,292,303820,281358,0.011341,2026-06-12 10:19:28
מזכרת בתיה,Mazkeret Batya,4,427,120,54121,52253,0.009135,2026-06-12 10:19:28
"בני עי""ש",Bnei Ayish,4,179,52,27448,26978,0.007679,2026-06-12 10:19:28
אשדוד,Ashdod,1,256,70,13207,9295,0.007531,2026-06-12 10:19:28
נהרייה,Nahariya,2,218,60,19511,16596,0.007167,2026-06-12 10:19:28
יקנעם עילית,Yokneam Illit,1,89,26,4447,3838,0.006774,2026-06-12 10:19:28
יהוד,Yehud,1,121,33,5965,5539,0.005958,2026-06-12 10:19:28
בית דגן,Beit Dagan,5,399,111,96274,94336,0.005861,2026-06-12 10:19:28
קדימה-צורן,Kedima-Zoran,6,315,90,101366,97450,0.005527,2026-06-12 10:19:28
חדרה,Hadera,4,268,76,64467,55675,0.005425,2026-06-12 10:19:28
אילת,Eilat,1,99,28,7263,5601,0.004999,2026-06-12 10:19:28
ראשון לציון,Rishon LeZion,2,148,42,37059,28066,0.002982,2026-06-12 10:19:28
רחובות,Rehovot,1,30,9,6407,4943,0.001821,2026-06-12 10:19:28
מעלה אדומים,Ma'ale Adumim,16,1663,463,205665,181873,0.039394,2026-06-13 09:21:25
כפר מנדא,Kfar Manda,2,131,38,2716,1935,0.038865,2026-06-13 09:21:25
קריית גת,Kiryat Gat,9,1433,394,163344,156186,0.022408,2026-06-13 09:21:25
רכסים,Raksim,5,405,113,36096,34563,0.016233,2026-06-13 09:21:25
בית שמש,Beit Shemesh,4,425,118,43346,32494,0.014433,2026-06-13 09:21:25
בת חפר,Bat Hefer,3,271,77,19268,18240,0.012527,2026-06-13 09:21:25
כפר סבא,Kfar Saba,11,1045,292,306929,284283,0.011225,2026-06-13 09:21:25
מזכרת בתיה,Mazkeret Batya,4,427,120,54916,53029,0.009001,2026-06-13 09:21:25
"בני עי""ש",Bnei Ayish,4,179,52,27744,27266,0.007598,2026-06-13 09:21:25
אשדוד,Ashdod,1,256,70,13317,9380,0.007463,2026-06-13 09:21:25
נהרייה,Nahariya,2,218,60,19668,16740,0.007105,2026-06-13 09:21:25
יקנעם עילית,Yokneam Illit,1,89,26,4493,3883,0.006696,2026-06-13 09:21:25
יהוד,Yehud,1,121,33,6019,5588,0.005906,2026-06-13 09:21:25
בית דגן,Beit Dagan,5,399,111,97262,95309,0.005802,2026-06-13 09:21:25
קדימה-צורן,Kedima-Zoran,6,315,90,102582,98636,0.005461,2026-06-13 09:21:25
חדרה,Hadera,4,268,76,65019,56199,0.005374,2026-06-13 09:21:25
אילת,Eilat,1,99,28,7330,5660,0.004947,2026-06-13 09:21:25
ראשון לציון,Rishon LeZion,2,148,42,37339,28280,0.002959,2026-06-13 09:21:25
רחובות,Rehovot,1,30,9,6461,4981,0.001807,2026-06-13 09:21:25
